,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Green River,US,86.0,clear sky,41.53,-109.47,Hampton Inn & Suites Green River
6,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
9,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
10,Mentor,US,75.99,overcast clouds,41.67,-81.34,Holiday Inn Cleveland Northeast - Mentor
17,Qiongshan,CN,80.6,clear sky,20.01,110.35,Sun City Restaurant
18,Svay Rieng,KH,80.11,overcast clouds,11.09,105.8,Apsara guesthouse
21,Hithadhoo,MV,84.83,broken clouds,-0.6,73.08,Scoop Guest House
29,Bethel,US,81.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
34,Roma,US,78.8,clear sky,43.21,-75.46,Wingate By Wyndham Rome
49,Cabo San Lucas,MX,95.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
56,Porto Novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
61,Tondano,ID,75.2,few clouds,1.3,124.91,Villa Bella
63,Yanam,IN,80.98,overcast clouds,16.73,82.22,The Regency Hotel
73,Marinette,US,75.2,overcast clouds,45.1,-87.63,AmericInn by Wyndham Menominee
80,San Quintin,MX,79.32,clear sky,30.48,-115.95,Old Mill Hotel
82,Sharjah,AE,98.6,clear sky,25.36,55.4,Swiss Belhotel Sharjah
89,Pineville,US,95.0,scattered clouds,31.32,-92.43,"Country Inn & Suites by Radisson, Pineville, LA"
90,Kathu,TH,81.0,few clouds,7.92,98.33,Sunset Beach Resort
93,Atuona,PF,79.83,clear sky,-9.8,-139.03,Villa Enata
94,Atar,MR,92.52,clear sky,20.52,-13.05,Oumou Elghoura
96,Butaritari,KI,83.71,broken clouds,3.07,172.79,Isles Sunset Lodge
99,Balabac,PH,83.01,overcast clouds,7.99,117.06,Sing and Swing Lodge
106,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
114,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
117,Kolokani,ML,81.09,scattered clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
122,Hilo,US,82.4,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
124,Hirara,JP,86.0,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
128,Progreso,MX,89.01,scattered clouds,21.28,-89.67,Playa Linda Hotel
129,Puerto Carreno,CO,84.2,scattered clouds,6.19,-67.49,Casa Hotel Victoria
138,Tual,ID,79.07,scattered clouds,-5.67,132.75,Grand Vilia Hotel
142,Hami,CN,76.91,broken clouds,42.8,93.45,Laoyutang Resort
144,Prince Albert,CA,75.2,broken clouds,53.2,-105.77,Holiday Inn Express & Suites Prince Albert
148,Ridgetown,CA,77.0,clear sky,42.43,-81.9,JOJO's Paradise Bed & Breakfast/SPA/Bakery Café
150,Cikarang,ID,84.0,haze,-6.26,107.15,Java Palace Hotel
151,Puerto Ayacucho,VE,84.2,scattered clouds,5.66,-67.62,Posada Turistica Manapiare
164,Guaymas,MX,102.99,clear sky,27.93,-110.9,Holiday Inn Express Guaymas
166,Stamford,US,84.99,clear sky,41.05,-73.54,The Lloyd
172,Kanbe,MM,77.0,broken clouds,16.71,96.0,CBT Mingalar Bar Bio Garden
177,Saint-Georges,GD,84.2,broken clouds,12.06,-61.75,Radisson Grenada Beach Resort
178,Labuhan,ID,76.24,overcast clouds,-6.88,112.21,bador sepret
179,Garden City,US,82.0,scattered clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
181,Norsup,VU,80.6,broken clouds,-16.07,167.38,Nabelchel Bungalows
185,Faanui,PF,79.02,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Warman,CA,80.01,broken clouds,52.32,-106.57,Days Inn & Suites by Wyndham Warman Legends Centre
191,Muana,BR,77.13,broken clouds,-1.53,-49.22,Pousada Bella do Marajó
193,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
194,Zhengjiatun,CN,80.73,overcast clouds,43.51,123.51,Siping Hexiang Hotel
209,Namatanai,PG,77.76,overcast clouds,-3.67,152.43,Namatanai Hotel
219,Emilio Carranza,MX,84.56,clear sky,19.97,-96.61,hotel delicias
230,Kalmunai,LK,80.19,overcast clouds,7.42,81.82,VS Villa
234,Guerrero Negro,MX,81.34,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
236,Gorontalo,ID,80.62,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
241,Allen,US,80.6,scattered clouds,41.07,-85.01,Holiday Inn Express Fort Wayne-East (New Haven)
242,Kimbe,PG,86.59,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
247,Portland,US,77.0,few clouds,45.52,-122.68,Portland Marriott City Center
251,Hampton,US,91.0,few clouds,37.03,-76.35,Embassy Suites by Hilton Hampton Convention Center
252,Port Blair,IN,81.81,overcast clouds,11.67,92.75,Hotel Sentinel
259,Anito,PH,84.47,overcast clouds,12.45,125.29,The Yellow House
261,Manbij,SY,78.8,clear sky,36.53,37.95,Manbej City Hotel
