City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yar-Sale,RU,2020-07-10 14:49:40,66.83,70.83,67.28,55,18,1.36
1,Bathsheba,BB,2020-07-10 14:49:41,13.22,-59.52,87.8,62,40,23.04
2,Punta Arenas,CL,2020-07-10 14:45:17,-53.15,-70.92,32.0,85,75,8.05
3,Nabire,ID,2020-07-10 14:49:41,-3.37,135.48,75.97,90,33,3.6
4,Saskylakh,RU,2020-07-10 14:49:41,71.92,114.08,58.64,57,100,16.89
5,Bulungu,CD,2020-07-10 14:49:41,-4.55,18.6,93.24,29,76,2.73
6,Pedro Juan Caballero,PY,2020-07-10 14:49:41,-22.55,-55.73,62.6,59,55,18.34
7,Hirara,JP,2020-07-10 14:49:42,24.8,125.28,84.58,82,1,10.02
8,Grand Gaube,MU,2020-07-10 14:49:42,-20.01,57.66,71.01,65,31,11.01
9,Pimenta Bueno,BR,2020-07-10 14:49:42,-11.67,-61.19,88.34,39,3,5.41
10,Isangel,VU,2020-07-10 14:49:42,-19.55,169.27,70.84,81,21,17.69
11,Tual,ID,2020-07-10 14:49:43,-5.67,132.75,79.0,88,80,16.91
12,Komsomolskiy,UZ,2020-07-10 14:49:43,40.43,71.72,87.8,27,99,2.24
13,Bandarbeyla,SO,2020-07-10 14:49:43,9.49,50.81,81.41,67,76,33.04
14,Grindavik,IS,2020-07-10 14:49:43,63.84,-22.43,50.0,71,75,10.29
15,Saint Austell,GB,2020-07-10 14:49:43,50.34,-4.77,63.0,71,40,17.22
16,Iqaluit,CA,2020-07-10 14:49:43,63.75,-68.51,44.6,81,75,4.7
17,Daura,NG,2020-07-10 14:49:43,11.55,11.41,90.79,42,77,6.44
18,Pozo Colorado,PY,2020-07-10 14:49:44,-23.49,-58.8,73.72,55,4,11.52
19,Mildura,AU,2020-07-10 14:49:44,-34.2,142.15,48.2,70,40,6.93
20,Nizhniy Kuranakh,RU,2020-07-10 14:49:44,58.84,125.49,62.04,84,20,2.75
21,Launceston,AU,2020-07-10 14:49:44,-41.45,147.17,39.99,100,100,1.19
22,Albany,US,2020-07-10 14:45:10,42.6,-73.97,82.0,68,99,6.85
23,Hermanus,ZA,2020-07-10 14:49:44,-34.42,19.23,57.0,73,98,4.0
24,Viedma,AR,2020-07-10 14:49:45,-40.81,-63.0,47.14,54,100,18.54
25,Kyren,RU,2020-07-10 14:49:45,51.68,102.14,61.45,65,97,1.36
26,Yeppoon,AU,2020-07-10 14:49:45,-23.13,150.73,62.6,77,0,5.82
27,Cape Town,ZA,2020-07-10 14:49:45,-33.93,18.42,57.0,87,75,16.11
28,Ahuimanu,US,2020-07-10 14:49:45,21.44,-157.84,78.8,78,90,8.05
29,Madison,US,2020-07-10 14:49:45,34.73,-86.57,84.99,78,40,5.82
30,Bredasdorp,ZA,2020-07-10 14:49:45,-34.53,20.04,57.2,76,88,8.05
31,Port Alfred,ZA,2020-07-10 14:49:46,-33.59,26.89,63.0,86,84,15.84
